Date,hurricane
29/07/20 00:00:00,78287
30/07/20 00:00:00,96076
31/07/20 00:00:00,162100
01/08/20 00:00:00,138508
02/08/20 00:00:00,114693
03/08/20 00:00:00,152499
04/08/20 00:00:00,170837
05/08/20 00:00:00,133636
06/08/20 00:00:00,81364
07/08/20 00:00:00,71653
08/08/20 00:00:00,64481
09/08/20 00:00:00,88530
10/08/20 00:00:00,124171
11/08/20 00:00:00,77392
12/08/20 00:00:00,72863
13/08/20 00:00:00,75912
14/08/20 00:00:00,116084
15/08/20 00:00:00,118535
16/08/20 00:00:00,119478
17/08/20 00:00:00,84115
18/08/20 00:00:00,69284
19/08/20 00:00:00,75683
20/08/20 00:00:00,93372
21/08/20 00:00:00,99089
22/08/20 00:00:00,105112
23/08/20 00:00:00,125492
24/08/20 00:00:00,117807
25/08/20 00:00:00,237892
26/08/20 00:00:00,704150
27/08/20 00:00:00,366812
